Region,Division,Sum,Rank,Ref_SchoolID,School2_ID,School3_ID,RefSchool_Name,School2_Name,School3_Name,RefSchool_LAT,RefSchool_LONG,School2_LAT,School2_LONG,School3_LAT,School 3_LONG,RefSch ot_Sch2,RefSch ot_Sch3,Sum of D1_D2,School Type
Region VII,Bohol,1.404260198,2,118843,118837,118844,Ubay Central ES Bohol 118843,Tapon ES Bohol 118837,Union ES Bohol 118844,10.051808,124.472176,10.0595,124.47,10.056,124.473999,0.89380643,0.510453768,1.404260198,CS
Region VII,Bohol,1.776539747,3,118424,118414,118420,Jagna Central ES Bohol 118424,Bunga Mar Elementary School Bohol 118414,Canjulao ES Bohol 118420,9.654093434,124.371103,9.652238,124.364472,9.657859,124.362727,0.760655774,1.015883972,1.776539746,CS
Region VII,Bohol,3.68125257,4,118027,118033,118035,Bien Unido Central ES Bohol 118027,Mandawa ES Bohol 118033,Nueva ESperanza ES Bohol 118035,10.1429129,124.3766143,10.133229,124.384399,10.126596,124.363945,1.382341728,2.298910842,3.68125257,CS
Region VII,Bohol,5.599969692,5,118768,118726,118754,Trinidad Central Elementary School Bohol 118768,San Roque ES Bohol 118726,La Union ES Bohol 118754,10.0811896,124.3441453,10.082741,124.318283,10.065544,124.363317,2.855558619,2.744411073,5.599969692,CS
Region VII,Bohol,5.91801813,6,118561,118556,118564,Panglao Central East ES Bohol 118561,DANAO ELEMENTARY SCHOOL Bohol 118556,Tawala ES Bohol 118564,9.58247,123.755332,9.56027779,123.7583333,9.561325,123.7775946,2.506145899,3.41187223,5.918018129,CS
Region VII,Bohol,6.421590367,7,118193,118197,118787,Clarin Central ES Bohol 118193,Nahawan ES Bohol 118197,Tubigon East CES Bohol 118787,9.961899604,124.0251987,9.970784,124.044334,9.947499955,123.9911115,2.332303546,4.089286822,6.421590368,CS
Region VII,Bohol,6.647077471,8,118092,118093,118098,Calape Central ES Bohol 118092,Bentig - Calunasan ES Bohol 118093,Mandaug ES Bohol 118098,9.893139,123.876889,9.899779,123.901111,9.905471,123.90972,2.772506415,3.874571056,6.647077471,CS
Region VII,Bohol,7.917319147,9,118401,118139,118675,Inabanga South Central Elementary School Bohol 118401,Guadalupe ES Bohol 118139,Bugsoc Elementary School Bohol 118675,9.796609,124.242157,9.8001178,124.2001711,9.787494,124.270316,4.647889052,3.269430095,7.917319147,CS
Region VII,Bohol,11.4710942,11,118520,118291,118527,Mabini Central ES Bohol 118520,Duero Central ES Bohol 118291,San Roque ES Bohol 118527,9.866045,124.523382,9.833611111,124.5008333,9.927431,124.538488,4.400636409,7.070457795,11.4710942,CS
Region VII,Bohol,13.58291533,13,117929,117986,117989,Alburquerque Central ES Bohol 117929,Guiwanon ES Bohol 117986,Miguel Oppus Memorial Elementary School Bohol 117989,9.611111,123.956963,9.6270036,123.8906816,9.629045,123.905206,7.528312136,6.054603196,13.58291533,CS
