ID,School_ID,School_name,Latitude,Longitude,Mapped
141925,320815,Bingao National High School,18.121171,120.557264,1
141926,100269,San Antonio ES,18.19310278,120.6017611,1
141927,150015,San Andres Elementary School,18.175251,120.654674,1
141928,100261,Binaratan ES,18.175,120.654444,1
141929,100267,Ruiz ES,18.166668,120.65001,1
141930,100272,Sarrat North CS,18.1609881,120.6484196,1
141931,300029,Sarrat National High School,18.1604045,120.6492366,1
141932,320816,STA. ROSA NATIONAL HIGH SCHOOL,18.160175,120.649594,1
141933,100266,Patad ES,18.158,120.6333833,1
141934,100271,Sarrat Central School,18.1546168,120.6445555,1
141935,100268,Sagpatan ES,18.15399444,120.6651278,1
141936,100265,Parang ES,18.150816,120.679838,1
141937,100263,Golgol ES,18.13788333,120.6609528,1
141938,100262,Cabuloan Elementary School,18.136488,120.676358,1
141939,100273,Sta. Rosa ES,18.124094,120.628192,1
141940,100270,San Bernabe ES,18.10217,120.619734,1
141941,150009,San Pedro ES,18.066008,120.663979,1
141942,500592,Pandan IS,,,0
141943,100279,Lipay ES,18.139403,120.82074,1
141944,100274,Bagbag ES,18.127123,120.738945,1
141945,100275,Bagbago ES,18.123229,120.753603,1
141946,320817,Bagbag Solsona National High School,18.123208,120.753564,1
141947,100287,Talugtog ES,18.116005,120.807945,1
141948,100278,Darasdas ES,18.111465,120.778675,1
141949,320818,Talugtog Solsona National High School,18.109693,120.801064,1
141950,100283,San Juan ES,18.10619,120.760947,1
141951,100276,Barcelona ES,18.106111,120.7675,1
141952,100280,Maananteng ES,18.10115,120.811302,1
141953,100286,Sta. Ana ES,18.100004,120.766672,1
141954,300030,Solsona National High School,18.098071,120.811515,1
141955,100284,Santiago ES,18.09572,120.769521,1
141956,100285,Solsona Central ES,18.091164,120.769748,1
141957,100281,Manalpac ES,18.090682,120.793668,1
141958,100277,Catangraran ES,18.084231,120.811286,1
141959,100282,Nagpatpatan ES,18.065626,120.7797,1
141960,320821,ISIC-ISIC NATIONAL HIGH SCHOOL,18.40841,120.78569,1
141961,100324,Tungel ES,18.408264,120.785408,1
141962,100313,Isic-Isic ES,18.399364,120.762971,1
141963,100311,Dasar ES,18.398314,120.774204,1
141964,100309,Cabayo ES,18.39581,120.752119,1
141965,100316,Magabobo ES,18.393671,120.788693,1
141966,100323,Saricao ES,18.381886,120.735741,1
141967,100291,Cabangaran ES,18.344636,120.741889,1
141968,100293,Danao Elementary School,18.344626,120.741853,1
141969,100314,Lipay ES,18.341977,120.731263,1
141970,300031,VINTAR NHS,18.328455,120.734274,1
141971,100296,Esperanza ES,18.326309,120.732749,1
141972,100294,Dimamaga ES,18.326301,120.732744,1
141973,100289,Bago ES,18.32569,120.683176,1
141974,100298,Gubang ES,18.324732,120.792704,1
141975,100318,Manarang ES,18.30658,120.671373,1
141976,100304,Tamdagan ES,18.304434,120.7394,1
141977,100292,Canaam ES,18.304391,120.788569,1
141978,100295,Dipilat ES,18.302752,120.718887,1
141979,100300,Masadsaduel Elementary School,18.29965,120.758445,1
141980,100288,Alsem ES,18.292255,120.685276,1
141981,100317,Malampa ES,18.285395,120.660165,1
141982,100303,Sagpat ES,18.284635,120.707659,1
141983,100322,Salsalamagui ES,18.269533,120.666749,1
141984,100310,Cabisuculan-Columbia ES,18.266595,120.6459144,1
141985,150016,Columbia PS,18.262721,120.663401,1
141986,100305,Vintar CES,18.257139,120.65746,1
141987,100306,Visaya ES,18.254394,120.689796,1
141988,100307,Abkir ES,18.24726389,120.6519389,1
141989,100319,Parparoroc ES,18.229757,120.676245,1
141990,100320,Parut ES,18.227703,120.626765,1
141991,100297,Ester Elementary School,18.225293,120.706162,1
141992,100299,Margaay PS,18.223016,120.666711,1
